brandName,itemName,priceAED,stockAvailability
Brand,Activia Stirred Yoghurt Full Fat Peach-Apricot 8 x 120g,"26 % OFF,11.00",In Stock
Brand,Golden Spike Soup Stick 250g,3.70,In Stock
Brand,Modern Bakery Lebanese Bread White Medium Size 1 Pkt,1.05,In Stock
Brand,Capricorn Milk Bread Sliced,6.40,In Stock
Brand,Australian Chilled Lamb Forequarter 1kg Approx. Weight,41.50,In Stock
Brand,Modern Bakery Sandwich Bread Brown Medium 1 Packet,3.95,In Stock
Brand,Modern Bakery Sandwich Bread Bread Milky Medium 1 Packet,3.95,In Stock
Brand,Modern Bakery Sandwich Bread Whole Meal Medium 1 Packet,4.75,In Stock
Brand,Lebanese Black Olives Plain 300g,6.50,In Stock
Brand,Fresh Garlic Paste 300g,4.90,In Stock
Brand,Turkish Green Olives 300g,8.35,In Stock
Brand,Greek Kalamata Olive Large 300g,7.75,In Stock
Brand,Anchor Feta Cheese 250g,4.25,In Stock
Brand,Brazilian Beef Mince 500g Approx weight,14.50,In Stock
Brand,Elle & Vire Yaggo Yogurt Strawberry 125g,3.40,In Stock
Brand,Marmum Fresh Yoghurt Low Fat 1kg,4.75,In Stock
Brand,Syrian Green Olives 300g,6.00,In Stock
Brand,Al Rawabi Fresh Chocolate Milk 500ml,2.90,In Stock
Brand,Philadelphia Cream Cheese Lite 226g,17.25,In Stock
Brand,Elle & Vire Strawberry Yoghurt Light 125g,3.35,In Stock
Brand,Al Ain Fresh Milk Low Fat 250ml,1.65,In Stock
Brand,Elle & Vire Light  Yogurt Myrtille Blueberry 125g,3.35,In Stock
Brand,Greek Green Olives Jumbo 300g Approx. Weight,5.50,In Stock
Brand,Egyptian Bakery Bosomat 450g,15.00,In Stock
Brand,Anchor Cheese Slices Medium Fat 167g,6.75,In Stock
Brand,Carne Diem Spicy Cajun Smoked Halal Beef Stick 25g,8.50,In Stock
Brand,Halloumi With Habat Baraka 250g Approx Weight,11.50,In Stock
Brand,Carne Diem Habanero BBQ Smoked Halal Beef Stick 25g,8.50,In Stock
Brand,Carne Diem Smoked Halal Beef Stick 25g,8.50,In Stock
Brand,Carne Diem BBQ Smoked Halal Beef Stick 25g,8.50,In Stock
Brand,Chayote (Chow Chow) India 1kg Approx weight,12.75,In Stock
Brand,Stuhrk Deutscher Carviar 100g,22.90,In Stock
Brand,Stuhrk Black Lump Fish Caviar 50g,15.90,In Stock
Brand,Stuhrk Red Lump Fish Caviar 100g,22.90,In Stock
Brand,Royal Dried Silver Belly 100g,4.75,In Stock
Brand,Royal Dried Shark 100g,4.75,In Stock
Brand,Golden Eggs DHA Omega 3 6pcs,9.20,In Stock
Brand,Nectarine Packet 500g Approx. Weight,14.50,In Stock
Brand,Galaxy Caramel Cake Bar 5pcs 150g,10.25,In Stock
,Al Bustan Fresh Quails 8pcs,27.40,In Stock
Brand,Activia Stirred Yoghurt Full Fat Peach-Apricot 120g,1.90,In Stock
Brand,Starbucks Chocolate Mocha Coffee Drink 220ml,9.90,In Stock
Brand,Fresh Arabic Tuna Salad 400g Approx. Weight,16.75,In Stock
Brand,Bega 84 Burger Slices 1kg,32.95,In Stock
Brand,Plums 1pkt,13.95,In Stock
Brand,Fresh Rohu Fish 1kg Approx. Weight,21.25,In Stock
Brand,Spicy Chick Peas Salad 200g,4.50,In Stock
Brand,Danette Dessert Cookie Flavour 90g,1.60,In Stock
Brand,Tomato Malaysia 1kg Approx weight,6.95,In Stock
Brand,Activia Stirred Yoghurt Full Fat Mango 120g,1.90,In Stock
Brand,Grapes White Turkey 500g Approx. Weight,5.25,In Stock
Brand,Grapes White Italy 500g Approx. Weight,7.50,In Stock
Brand,Capsicum Orange UAE 500g Approx. Weight,6.75,In Stock
Brand,Grapes Red Iran 1kg Approx. Weight,9.75,In Stock
Brand,Grapes Black Italy 500g Approx. Weight,16.00,In Stock
Brand,Peaches Spain 500g Approx weight,5.90,In Stock
Brand,Plums 1kg Approx Weight,15.00,In Stock
Brand,Banana Philippines 1kg Approx. Weight,"37 % OFF,3.45",In Stock
Brand,Black Grapes Lebanon 500g Approx Weight,5.50,In Stock
Brand,Fry Chilli 250g Approx. Weight,3.75,In Stock
Brand,Kaka Fruit 500g Approx Weight,12.75,In Stock
Brand,Nectarine Spain  1kg Approx weight,12.75,In Stock
Brand,Rock Melon 1pc,8.50,In Stock
Brand,Sugarcane 1kg Approx. Weight,12.75,In Stock
Brand,String Beans Bangladesh 500g Approx weight,10.75,In Stock
Brand,The Three Cows Feta Cheese Firm 500g,10.75,In Stock
Brand,Valbreso Feta Cheese Light 200g,16.45,In Stock
Brand,The Three Cows Mozzarella Shredded Cheese 200g,9.70,In Stock
Brand,The Three Cows Mozzarella Shredded Cheese 500g,23.50,In Stock
Brand,Honey Dew Melon 1pc,6.30,In Stock
Brand,The Three Cows White Cheese Full Cream 500g,8.80,In Stock
Brand,The Three Cows Mozzarella Cheese Block 200g,9.15,In Stock
Brand,Eggplant Pink Oman 500g Approx. Weight,3.25,In Stock
Brand,Crystal Farms American Singles Cheese 340g,23.50,In Stock
Brand,Crystal Farms American Singles Cheese 453g,29.75,In Stock
Brand,Crystal Farm Finely Shredded Pizza Cheese 226g,23.00,In Stock
Brand,Australian Beef Tenderloin 300g Approx weight,44.90,In Stock
Brand,Pomegranate Egypt (Anar) 1k Approx. Weight,5.00,In Stock
Brand,Grapes White Iran 1kg Approx. Weight,"25 % OFF,5.95",In Stock
Brand,7 Days Mini Roll Cake Vanilla Flavor 20g,0.50,In Stock
Brand,Meadowlea Margarine Salt Reduced 500g,14.20,In Stock
Brand,Australian Beef Mince 500g Approx weight,23.50,In Stock
Brand,Lulu White Fresh Eggs Medium 6pcs,4.00,In Stock
Brand,Lulu Fresh Brown Eggs Large 15pcs,10.00,In Stock
Brand,Lulu Brown Fresh Eggs Medium 6pcs,4.00,In Stock
Brand,Lulu Brown Fresh Eggs Large 6pcs,4.25,In Stock
Brand,Lulu White Fresh Eggs Large 6pcs,4.25,In Stock
Brand,Lulu White Fresh Eggs Medium 15pcs,8.95,In Stock
Brand,Lulu Brown Fresh Eggs Medium 30pcs,17.25,In Stock
Brand,Lulu White Fresh Eggs Large 30pcs,18.25,In Stock
Brand,Lulu Brown Fresh Eggs Small 30pcs,15.75,In Stock
Brand,Lurpak Butter Block Salted  400g,15.75,In Stock
Brand,7 Days Strawberry Mini Roll 20g x 12pcs,5.95,In Stock
Brand,Lurpak Butter Block Unsalted  200g,8.75,In Stock
Brand,The Three Cows Feta Cheese Firm 200g,5.00,In Stock
Brand,Lurpak Butter Block Salted  200g,8.75,In Stock
Brand,Golden Loaf Finger Roll Plain 6pcs,1.50,In Stock
Brand,Kasih Liquid Jameed 1kg,29.25,In Stock
Brand,Modern Bakery Sandwich Bread White Medium 1 Packet,3.40,In Stock
Brand,Al Ain Strawberry Milk 250ml,1.70,In Stock
Brand,The Three Cows White Cheese Light 200g,4.50,In Stock
Brand,The Three Cows White Cheese Full Cream 200g,4.50,In Stock
Brand,Puck Natural Havarti Cheese Slices 2 x 150g,17.90,In Stock
Brand,Lulu White Fresh Eggs Large 15pcs,10.00,In Stock
Brand,Honey Cake Medium 1pc,49.90,In Stock
Brand,Almarai Natural Butter Unsalted 100g,"2 % OFF,4.65",In Stock
Brand,Al Ain Fresh Laban Full Fat 250ml,1.70,In Stock
Brand,Al Ain Fresh Laban Low Fat 200ml,1.45,In Stock
Brand,Al Ain Fresh Laban Full Cream 2Litre,10.50,In Stock
Brand,Al Marai Fresh Sour Yoghurt Full Cream 1kg,7.35,In Stock
Brand,Al Rawabi Fresh Chocolate Milk 200ml,1.45,In Stock
Brand,Marinated Bone Less Chicken Breast 500g Approx Weight,13.75,In Stock
Brand,Royal Dried Anchovi  100g,4.75,In Stock
Brand,Jordan Green Olives With Zaatar 300g,8.00,In Stock
Brand,Jordan Green Olives With Lemon 300g,8.00,In Stock
Brand,Jordan Green Olives in Oil 300g,6.50,In Stock
Brand,Syrian Stuff Eggplant Maqdous 300g,10.85,In Stock
Brand,Jordan Stuff Eggplant Maqdous 300g,9.90,In Stock
Brand,Jordan Green Olives in Brine 300g,5.75,In Stock
Brand,Jordan Black Olives in Oil 300g,7.50,In Stock
